1,Novak Djokovic,1816585
2,Andy Murray,208945
3,Roger Federer,188265
4,Stan Wawrinka,236865
5,Rafael Nadal,235230
6,Tomas Berdych,224620
7,David Ferrer,204305
8,Kei Nishikori,214235
9,Richard Gasquet,202850
10,Jo-Wilfried Tsonga,182635
11,John Isner,252495
12,Kevin Anderson,252475
13,Marin Cilic,222405
14,Milos Raonic,202170
15,Gilles Simon,242145
16,David Goffin,261880
17,Feliciano López,261690
18,Bernard Tomic,291675
19,Benoit Paire,301633
20,Dominic Thiem,301600
21,Fabio Fognini,261515
22,Viktor Troicki,301487
23,Ivo Karlovic,261485
24,Gaël Monfils,221485
25,Roberto Bautista Agut,291480
26,Jack Sock,211465
27,Guillermo Garcia-Lopez,271430
28,Grigor Dimitrov,231360
29,Andreas Seppi,261360
30,Nick Kyrgios,201260
31,Jérémy Chardy,281255
32,Steve Johnson,291240
33,Joao Sousa,311191
34,Philipp Kohlschreiber,251185
35,Leonardo Mayer,251150
36,Alexandr Dolgopolov,261135
37,Thomaz Bellucci,301105
38,Gilles Muller,251105
39,Vasek Pospisil,24175
40,Pablo Cuevas,27165
41,Jiri Vesely,32157
42,Tommy Robredo,2110
43,Martin Klizan,30980
44,Borna Coric,30941
45,Aljaz Bedene,22939
46,Marcos Baghdatis,23933
47,Adrian Mannarino,32930
48,Donald Young,24907
49,Fernando Verdasco,26900
50,Teymuraz Gabashvili,30863
51,Hyeon Chung,23817
52,Federico Delbonis,26815
53,Juan Mónaco,21810
54,Albert Ramos-Viñolas,29798
55,Lukas Rosol,31797
56,Victor Estrella,25797
57,Jerzy Janowicz,26795
58,Simone Bolelli,27790
59,Sam Querrey,24785
60,Sam Groth,26782
61,Denis Istomin,29781
62,Sergiy Stakhovsky,31780
63,Andreas Haider-Maurer,29775
64,Pablo Andújar,24770
65,Mikhail Kukushkin,26762
66,Robin Haase,27740
67,Pablo Carreño Busta,32734
68,Paolo Lorenzi,35725
69,Denis Kudla,26719
70,Santiago Giraldo,30716
71,Nicolas Mahut,20710
72,Inigo Cervantes,29703
73,Nicolás Almagro,23694
74,Guido Pella,25693
75,Daniel Muñoz de la Nava,22681
76,Dusan Lajovic,28678
77,Yen-Hsun Lu,28674
78,Lucas Pouille,22672
79,Andrey Kuznetsov,22663
80,Thanasi Kokkinakis,20656
81,Ernests Gulbis,25655
82,Damir Dzumhur,27649
83,Alexander Zverev,24647
84,Marcel Granollers,30645
85,Ricardas Berankis,28641
86,Steve Darcis,21638
87,Ivan Dodig,21636
88,Diego Schwartzman,29624
89,Rajeev Ram,17623
90,Marco Cecchinato,23618
91,Evgeny Donskoy,28615
92,John Millman,25611
93,Yuki Bhambri,21610
94,Illya Marchenko,25605
95,Paul-Henri Mathieu,25604
96,Taro Daniel,26603
97,Benjamin Becker,28591
98,Daniel Gimeno-Traver,26590
99,Thiemo de Bakker,26587
100,Dudi Sela,21578
