eg,ch
47501233,28919584
42959535,28407750
42911090,29787852
52841642,28011748
50526712,27970675
43025573,28350126
43213358,28024026
43272673,28368241
45096055,28958838
44097539,28072972
43003529,27790386
42955950,28477881
43149468,28055519
43114312,27957980
43144135,28844743
44102424,28322099
43062328,28441431
42955423,28155450
43046069,28088628
43960215,29065687
43312033,28584933
43750967,28462446
43039844,27956367
43466254,27868156
43028299,27916922
43112426,29086331
42991745,28143543
43003144,27993216
42848435,28087865
43090906,29150595
42757229,28478239
43193465,28453757
42864526,28009513
42750932,29885488
45058183,28210207
45829432,29348109
43636845,28499291
42823088,28487843
44025111,28510757
43809157,31688189
46235013,35284442
44388217,31534221
43374916,28432009
46132490,29200888
64512198,30441498
42888234,28216508
51134335,28574643
43457290,28660392
43374556,28536677
42953593,28412003
43183753,27841122
43340144,27950469
43249127,27647850
43228207,28153153
42993347,28318568
46571026,27851909
54415068,31065200
43684235,31950299
48324947,30209607
43826680,27830784
44111083,28160991
43844559,27987664
43556222,28696390
43699465,28617247
54006115,28463717
45823331,29199509
43952266,27904707
44134601,29343150
43563227,31570163
47530371,32475278
46723912,28085202
46366534,28306522
44177088,28092747
44984305,28096679
45619087,28252079
44152125,27877266
43209756,27704193
43532529,28412535
42864956,31568960
43223612,27839018
44033356,27825812
46126092,30860113
43000208,29230254
45582254,28473527
44967409,30272651
53369182,27927306
44943050,30596697
44696604,30145130
44534130,28809489
42843040,28570029
42905855,30151039
43110048,28733394
42892201,28324218
42919980,28119115
42875742,30420904
42819397,28257371
42939395,28457338
43101455,28271598
42836478,28295694
43921740,28342964
43476098,28142153
44571891,28433038
42774797,32781743
43055059,28303314
43355943,28212180
43378316,28332363
43107470,27916339
42992426,28345939
42954561,28340929
42925892,28557898
43047528,27855347
43299594,27733739
42992437,28327958
43548673,27979323
43350015,28080262
43220382,27999229
43706927,28298924
42985163,27889235
43802825,28497897
44701917,27727183
44575346,27884759
45271966,28574473
46526888,38859010
45727961,34443057
43722796,32066083
42780287,30594727
42727752,29829928
43289145,28389332
44860829,27881464
43496361,27890991
43987420,27979624
43391466,28151682
43172741,28339209
43119220,28040574
43031344,28765704
43028788,28110253
43753222,28152998
46171102,28223830
43206148,28103439
43171029,28213769
43353039,28119595
42937478,28039421
44401457,28144644
43399341,28075615
44243506,28520475
45796731,28338122
43456239,28195824
42935121,28734096
46948740,28652377
44158337,28889990
46409213,28403066
47248013,28537362
50383075,28289080
45213144,28271096
43701413,27913231
43851336,28194462
43949324,28118752
44061536,30352141
43898295,35913999
48274085,34630531
47947521,29882523
50245136,28355984
49560689,28189732
49450325,28364753
45091120,28014609
46325409,28473771
46851255,29184300
46541510,28367206
54851414,28334951
45279587,28157414
44504874,28525822
43982202,28590465
59968951,28564014
43319597,31495152
52668540,35034724
43184618,28187906
44438752,28321580
47772922,28224897
43548134,28807767
