eg,ch
32761400,15148679
22891766,17133424
22969026,13675319
22812760,14016908
23332453,13912572
22406452,14605683
25217273,14953414
20981292,14252253
18876940,13248222
18688504,13028569
20012304,13331777
19746336,15481580
19759867,19659888
18949887,16665719
18795068,16207668
19368051,14726130
21569376,13737809
19575879,14206930
20301627,13495490
21449537,13767144
18555370,16080444
29683909,16447599
72170528,15419713
24363825,15424195
20441449,14695337
18811722,14234272
18016935,14395759
18837843,14221517
17696501,14228880
19551321,14119523
30493666,14311537
21474666,14344588
31078175,13258814
20580910,14060074
26915406,13771951
18812902,13739870
18963196,13313127
21464354,14216346
22060109,15496403
20228981,13725463
19410014,13632457
18390200,13643890
20597524,14248267
20266258,15011431
18888388,16610357
17742978,16687757
21663353,15203963
21460664,13674484
38377922,14206468
35334346,15966076
28021646,13177103
32125711,14128908
25120851,13949451
29584139,14104327
19801079,16203198
20143875,14065896
20460910,13616294
19523783,14993236
18542958,14400475
18632754,14179108
18717725,13943371
20075925,14099303
20404788,16585158
19679039,25042594
22189733,25729988
21070890,28187315
18906627,25816881
20483440,15628361
18912210,15003704
20347781,13967776
19550789,13614846
21521694,14139203
19797965,16339113
18570832,15713837
19618425,14059118
18881810,15173251
18633688,18041702
19038940,16561800
18995873,15887494
21115172,15683489
19763523,15912172
18236687,14384848
17931412,13955983
20064052,15074361
18783593,14497246
19823457,14948030
21717916,14616300
19178091,14207026
19190513,20786574
18925504,23848878
20270204,21657360
18883790,25243575
18927609,32622676
18874844,20418252
18524043,18737254
18882675,15815298
19314790,15114625
19298877,15735202
19738579,15149960
25146729,16376201
33886169,14217870
29489838,14192681
33529095,14146621
26940645,14531829
23592541,18640613
20592528,20676650
18094557,14279119
20294220,14628204
19693846,14478981
21539819,16492711
21138745,13580293
18188626,15062182
19095323,13771441
18067144,16164958
18411489,14744030
18216568,15812451
17831861,13716257
20803959,16500703
18427186,13991783
18270934,14684616
18079118,13736798
19284976,13804957
19698128,14385103
19631204,16144787
18930223,15922837
19729970,14914014
19912640,13778307
18065381,15078587
18528441,15137277
18078956,15257908
18916220,16247477
19108309,15994189
18443073,15963039
20066638,14814956
21099847,13554555
17832085,13594213
18250978,13542695
21371377,13582217
18703697,16016847
19890637,13581035
18496925,14536595
18778169,17297572
20990163,15293759
24020993,13790747
22574700,13206948
19168636,14753059
19604623,13584658
21648456,13690566
18645516,13217019
19008276,13631336
19879749,13601699
25037705,13619011
25155569,13527615
24848730,14525370
29832798,14275277
26578713,14121362
25169091,14290863
24661020,14066345
20048010,14010249
19045490,16916134
18807328,14381932
18361620,14234506
18677290,14255587
18185545,14267070
17706720,13798049
18290212,13179721
18328548,13561737
19773578,13605824
18722974,13772721
17982266,13581599
18569303,13516510
19044051,13983490
18268706,14080408
17878335,13750302
18426498,14200981
18324064,14145101
18009194,13893606
19841218,16456687
18647148,15744097
19102395,13422527
18716605,13520537
18493001,14123810
19017009,13953173
18386083,15965925
21043469,24853809
19355615,18969724
18755657,14401378
19838623,16021744
19422253,16716488
19330200,14452502
19261139,14209777
21381183,13800017
18508807,14361205
20417001,13306657
19575087,16182297
18787586,15143706
19852870,14327847
20134461,15054868
18245547,16463021
18506262,16922322
19216358,15283902
20071909,13336409
18907476,16774353
18634424,15970794
21518818,13615739
24440880,13601169
27580383,14140219
25572930,14822293
27008668,13499709
26859046,13594990
26275319,14659915
27209875,15738076
20136898,16415132
18471687,14812824
19224153,14477655
18872664,15840047
18456164,13565382
18444420,15587120
20089089,14916499
18788294,13531888
18528816,13634077
18521144,13802335
19250001,18261110
22130982,22344373
