eg,ch
32,52
29,29
40,28
27,27
26,28
27,28
27,28
27,28
27,28
27,28
28,27
29,28
31,28
30,27
25,28
25,27
26,28
26,28
25,28
26,27
24,28
24,27
24,28
24,27
24,28
23,27
23,28
23,27
24,28
24,28
25,28
23,28
23,27
30,28
38,28
24,28
41,28
22,28
22,28
22,28
22,28
22,28
22,28
22,28
22,27
22,28
22,28
22,28
22,28
21,27
22,28
22,27
22,28
62,28
29,28
21,27
29,28
29,27
29,28
29,28
29,28
29,28
29,28
29,50
29,28
27,28
26,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
26,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,27
27,28
29,28
29,28
28,28
28,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
28,27
29,28
28,28
29,28
29,28
28,28
29,28
29,28
29,28
29,39
29,26
29,28
29,28
29,32
29,26
29,26
28,26
28,27
29,26
29,27
29,25
29,26
29,26
28,25
29,25
29,25
28,25
29,25
29,25
28,24
29,25
29,24
29,25
29,22
29,21
29,41
29,25
29,25
29,29
28,23
29,22
28,23
39,23
62,23
29,23
29,22
29,23
29,22
29,22
29,23
29,22
29,23
29,23
29,23
29,22
29,22
29,23
29,22
29,23
29,23
28,23
29,23
29,22
29,23
29,22
29,22
29,23
29,23
29,22
29,22
29,23
28,22
29,22
29,23
29,22
29,22
29,23
29,22
29,22
28,22
29,23
29,23
29,22
29,23
29,22
29,23
29,34
29,22
29,22
28,22
29,22
28,22
29,22
28,23
29,22
29,22
29,22
28,23
29,22
29,23
28,23
29,22
29,22
29,22
29,22
29,22
29,22
29,22
28,22
29,23
28,23
29,22
29,23
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
29,22
28,22
29,40
29,28
29,28
29,28
29,28
29,28
29,28
28,28
29,28
29,27
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,27
29,28
29,28
29,28
29,28
29,28
29,28
28,27
29,28
29,28
29,27
29,28
29,27
29,28
29,27
27,28
29,28
28,28
29,28
29,28
29,27
29,28
29,27
28,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
28,28
24,28
30,28
30,28
34,28
29,28
29,28
28,28
29,28
27,28
27,28
27,28
27,28
28,28
27,28
26,28
26,28
26,28
25,28
26,48
26,28
26,28
24,28
27,28
25,28
37,28
25,28
25,28
36,28
25,28
24,28
24,28
24,28
24,28
25,28
24,28
24,28
24,28
24,28
24,28
25,28
22,28
25,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,28
24,27
24,28
24,28
24,28
24,28
24,28
25,28
24,28
25,28
24,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,28
29,27
39,28
27,27
27,28
27,28
27,28
27,28
27,27
38,27
27,28
27,28
27,28
27,27
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,27
27,28
27,28
27,28
27,28
27,27
26,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,28
27,27
27,28
27,27
27,28
27,27
27,28
27,28
26,27
27,28
27,28
27,28
27,27
27,28
27,27
27,28
27,28
27,28
27,28
27,28
27,27
27,28
27,27
27,28
27,28
27,27
27,28
27,27
27,28
27,28
27,28
27,28
27,28
